Paraguai,Rússia,Estados Unidos,China,Reino Unido
1374088,2352768,804607,25926,155076
392087,5732280,660066,482400,68788
449197,0,478630,2358,295690
276281,0,1030254,334867,285642
428279,2103968,303986,642177,334856
680828,14795694,786556,279956,305005
908028,61440,494216,455340,1373747
741370,18240,524109,222866,308407
1655417,0,687411,499622,536681
4274650,0,1523699,266086,242883
5494321,0,512519,126336,296827
3826587,0,616274,376828,164592
3869243,8550,610793,363000,82722
7192362,312926,203554,264116,122394
7156293,118618,447893,404647,138154
