País de destino,Qtd. Total (L),Valor Total (US$)
Paraguai,29214770,38719031
Rússia,39029799,25504484
Estados Unidos,3563355,9684567
China,2509458,4746525
Reino Unido,1239551,4711464
Espanha,1993000,3808552
Países Baixos,1236154,3791611
"Alemanha, República Democrática",909051,2546394
Japão,1181692,2377716
Haiti,1791603,2327208
Bélgica,402667,1395226
Uruguai,792595,1219878
Canadá,195491,1097417
Suíça,152894,906264
França,317553,720359
Polônia,154475,611080
Portugal,419586,581419
Angola,168868,576189
Finlândia,86763,537432
Austrália,274654,469248
Hong Kong,149132,453894
Dinamarca,78104,375575
Luxemburgo,66541,369934
"Tcheca, República",66529,356395
Suécia,98535,348397
Curaçao,191119,320683
Cuba,271044,304612
Bolívia,204421,290118
Taiwan (FORMOSA),76106,277050
Noruega,34355,262452
Nigéria,161641,258460
Argentina,51012,221684
Panamá,62156,162516
Emirados Arabes Unidos,17312,144843
Antilhas Holandesas,97002,142915
Itália,25597,141298
Gana,102178,139681
Irlanda,16970,104717
Libéria,26953,98667
Estônia,30071,90830
Cingapura,27567,90610
Venezuela,55515,88828
Colômbia,43886,88017
"Marshall, Ilhas",30353,87600
Guine Equatorial,20684,81903
Catar,13339,81608
Bahamas,14101,76628
Nova Zelândia,14030,75209
Chile,23205,70572
Peru,24668,53789
Malta,14222,50749
Cabo Verde,12625,50363
Suriname,27101,46390
México,6326,43837
Guatemala,20247,43189
Serra Leoa,23884,41904
Benin,15399,37765
Togo,24367,35420
Quênia,8311,33767
Filipinas,14222,31397
Singapura,8826,29780
Grécia,9480,26256
Guiana,6633,19890
Chipre,6805,18096
"Eslovaca, Republica",585,16063
"Coreia, Republica Sul",3965,15479
Vietnã,9799,13013
Nova Caledônia,7227,11924
Granada,5610,7914
Antígua e Barbuda,2104,7738
Camarões,1749,7654
Tailândia,2436,6872
Barein,1771,5855
Áustria,681,5432
Hungria,627,4686
Trinidade Tobago,891,4320
Equador,3917,4037
Letônia,387,3723
Gibraltar,792,2953
Dominica,1945,2857
Barbados,615,2552
Aruba,1350,2435
São Tomé e Príncipe,2184,2357
"Cayman, Ilhas",425,1962
Moçambique,383,1927
Turquia,1236,1740
Bulgária,122,1610
India,318,1390
Ilha de Man,301,1382
Brasil,2535,998
Namibia,340,722
Omã,194,670
Honduras,176,610
Croácia,55,607
Congo,360,570
Irã,184,412
Costa Rica,55,200
Malásia,63,143
Bangladesh,12,133
Montenegro,32,131
África do Sul,30,116
El Salvador,55,100
São Vicente e Granadinas,28,99
Guine Bissau,48,90
Mauritânia,9,85
"Cocos (Keeling), Ilhas",26,60
Bósnia-Herzegovina,45,52
Jordânia,12,52
Guiana Francesa,112,50
Afeganistão,11,46
Vanuatu,18,31
Belice,9,29
Comores,9,25
Nicaragua,24,24
Suazilândia,10,24
Indonésia,5,6
Tuvalu,2,4
