País de destino;Qtd. Total (L);Valor Total (US$);País de Origem
Paraguai;29214770;38719031;1
Rússia;39029799;25504484;0
Estados Unidos;3563355;9684567;2
China;2509458;4746525;3
Reino Unido;1239551;4711464;6
Espanha;1993000;3808552;4
Países Baixos;1236154;3791611;7
Alemanha;909051;2546394;9
Japão;1181692;2377716;8
Haiti;1791603;2327208;5
Bélgica;402667;1395226;12
Uruguai;792595;1219878;10
Canadá;195491;1097417;17
Suíça;152894;906264;22
França;317553;720359;13
Polônia;154475;611080;21
Portugal;419586;581419;11
Angola;168868;576189;19
Finlândia;86763;537432;27
Austrália;274654;469248;14
Hong Kong;149132;453894;23
Dinamarca;78104;375575;28
Luxemburgo;66541;369934;30
Tcheca, República;66529;356395;31
Suécia;98535;348397;25
Curaçao;191119;320683;18
Cuba;271044;304612;15
Bolívia;204421;290118;16
Taiwan (FORMOSA);76106;277050;29
Noruega;34355;262452;36
Nigéria;161641;258460;20
Argentina;51012;221684;34
Panamá;62156;162516;32
Emirados Arabes Unidos;17312;144843;49
Antilhas Holandesas;97002;142915;26
Itália;25597;141298;42
Gana;102178;139681;24
Irlanda;16970;104717;50
Libéria;26953;98667;41
Estônia;30071;90830;38
Cingapura;27567;90610;39
Venezuela;55515;88828;33
Colômbia;43886;88017;35
Marshall, Ilhas;30353;87600;37
Guine Equatorial;20684;81903;47
Catar;13339;81608;56
Bahamas;14101;76628;54
Nova Zelândia;14030;75209;55
Chile;23205;70572;46
Peru;24668;53789;43
Malta;14222;50749;52
Cabo Verde;12625;50363;57
Suriname;27101;46390;40
México;6326;43837;65
Guatemala;20247;43189;48
Serra Leoa;23884;41904;45
Benin;15399;37765;51
Togo;24367;35420;44
Quênia;8311;33767;61
Filipinas;14222;31397;53
Singapura;8826;29780;60
Grécia;9480;26256;59
Guiana;6633;19890;64
Chipre;6805;18096;63
Eslovaca, Republica;585;16063;83
Coreia, Republica Sul;3965;15479;67
Vietnã;9799;13013;58
Nova Caledônia;7227;11924;62
Granada;5610;7914;66
Antígua e Barbuda;2104;7738;72
Camarões;1749;7654;75
Tailândia;2436;6872;70
Barein;1771;5855;74
Áustria;681;5432;80
Hungria;627;4686;81
Trinidade Tobago;891;4320;78
Equador;3917;4037;68
Letônia;387;3723;85
Gibraltar;792;2953;79
Dominica;1945;2857;73
Barbados;615;2552;82
Aruba;1350;2435;76
São Tomé e Príncipe;2184;2357;71
Cayman, Ilhas;425;1962;84
Moçambique;383;1927;86
Turquia;1236;1740;77
Bulgária;122;1610;94
India;318;1390;89
Ilha de Man;301;1382;90
Brasil;2535;998;69
Namibia;340;722;88
Omã;194;670;91
Honduras;176;610;93
Croácia;55;607;98
Congo;360;570;87
Irã;184;412;92
Costa Rica;55;200;99
Malásia;63;143;96
Bangladesh;12;133;109
Montenegro;32;131;102
África do Sul;30;116;103
El Salvador;55;100;97
São Vicente e Granadinas;28;99;104
Guine Bissau;48;90;100
Mauritânia;9;85;112
Cocos (Keeling), Ilhas;26;60;105
Bósnia-Herzegovina;45;52;101
Jordânia;12;52;108
Guiana Francesa;112;50;95
Afeganistão;11;46;110
Vanuatu;18;31;107
Belice;9;29;114
Comores;9;25;113
Nicaragua;24;24;106
Suazilândia;10;24;111
Indonésia;5;6;115
Tuvalu;2;4;116
