País,2008,2008.1,2009,2009.1,2010,2010.1,2011,2011.1,2012,2012.1,2013,2013.1,2014,2014.1,2015,2015.1,2016,2016.1,2017,2017.1,2018,2018.1,2019,2019.1,2020,2020.1,2021,2021.1,2022,2022.1
Afeganistão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,46,0,0
África do Sul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,95,4,21,0,0,0,0
"Alemanha, República Democrática",265742,429970,225086,393482,27715,138666,36070,144150,8189,56342,61699,265978,213348,761653,10680,44780,14012,68109,15467,87702,10794,45382,3660,25467,6261,32605,2698,6741,7630,45367
Angola,25721,71083,54786,84235,33557,189891,13889,69001,2833,8861,1573,9300,12182,23124,1908,17089,7359,35390,10170,61680,477,709,345,1065,0,0,0,0,4068,4761
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antígua e Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,191,219,1549,624,1864,805,2268,419,1866
Antilhas Holandesas,17938,22908,8235,10651,9810,12808,7335,10188,9247,14081,11281,19565,4455,7169,6660,10545,16641,26450,5400,8550,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,162,4523,0,0,13253,55460,0,0,0,0,20385,95130,0,0,0,0,0,0,15711,59150,0,0,1015,4176,6,13,480,3232
Aruba,0,0,0,0,0,0,900,1680,0,0,0,0,450,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austrália,218726,99280,1014,9195,1823,17960,3632,40704,9345,56045,16707,101715,6308,43709,7437,48011,1954,13799,1350,7500,2055,6902,1161,4682,1013,3413,705,4034,1424,12299
Áustria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,5220,0,0,0,0,0,0,0,0,0,0,6,212
Bahamas,0,0,0,0,3175,12759,4529,28810,1374,12087,581,5145,0,0,0,0,0,0,0,0,141,634,791,3124,1212,3703,1083,4567,1215,5799
